review,sentiment,tokenized_review
guess prepared years hearing first heard sister exert said divine ate excrement look friend told 1991 said also parents saw first came mon almost dumped dad time caught pink flaming abundance today prepared parti still could help surprised anal closeup blowjob scene said characters sympathized die egg man crying scene early film though something frivolous normal people actually makes sad though sure pretty cut voice happy egg man actually touched meon hand acting povertylevel production good script john waters come stuff well least different,negative,"['guess', 'prepared', 'years', 'hearing', 'first', 'heard', 'sister', 'exert', 'said', 'divine', 'ate', 'excrement', 'look', 'friend', 'told', '1991', 'said', 'also', 'parents', 'saw', 'first', 'came', 'mon', 'almost', 'dumped', 'dad', 'time', 'caught', 'pink', 'flaming', 'abundance', 'today', 'prepared', 'parti', 'still', 'could', 'help', 'surprised', 'anal', 'closeup', 'blowjob', 'scene', 'said', 'characters', 'sympathized', 'die', 'egg', 'man', 'crying', 'scene', 'early', 'film', 'though', 'something', 'frivolous', 'normal', 'people', 'actually', 'makes', 'sad', 'though', 'sure', 'pretty', 'cut', 'voice', 'happy', 'egg', 'man', 'actually', 'touched', 'meon', 'hand', 'acting', 'povertylevel', 'production', 'good', 'script', 'john', 'waters', 'come', 'stuff', 'well', 'least', 'different']"
bought video throwout table video store expecting good cast routed awardwinning bit sex comedy guess read finer print rarely write planning review goesthese actors gay roles really play games memories lot far worthy films comedy cruel joke expense actors theatregoing public nice films contributed reputationsi repeat joke thrashing actors highly respectable onscreen personal scurrilously trash flick reference austin classic pride prejudice sense sensibility anything else much political statement produce melodrama using stars meant simply take laydown misery actors gay thus letting onscreen roleplay affect lifestyle accepting private homosexual dealings faces I sorry think say one,negative,"['bought', 'video', 'throwout', 'table', 'video', 'store', 'expecting', 'good', 'cast', 'routed', 'awardwinning', 'bit', 'sex', 'comedy', 'guess', 'read', 'finer', 'print', 'rarely', 'write', 'planning', 'review', 'goesthese', 'actors', 'gay', 'roles', 'really', 'play', 'games', 'memories', 'lot', 'far', 'worthy', 'films', 'comedy', 'cruel', 'joke', 'expense', 'actors', 'theatregoing', 'public', 'nice', 'films', 'contributed', 'reputationsi', 'repeat', 'joke', 'thrashing', 'actors', 'highly', 'respectable', 'onscreen', 'personal', 'scurrilously', 'trash', 'flick', 'reference', 'austin', 'classic', 'pride', 'prejudice', 'sense', 'sensibility', 'anything', 'else', 'much', 'political', 'statement', 'produce', 'melodrama', 'using', 'stars', 'meant', 'simply', 'take', 'laydown', 'misery', 'actors', 'gay', 'thus', 'letting', 'onscreen', 'roleplay', 'affect', 'lifestyle', 'accepting', 'private', 'homosexual', 'dealings', 'faces', 'I', 'sorry', 'think', 'say', 'one']"
moves predictable ending use great see moves really unusual twists however said really disappointed lapartments ending opinion ending really fit rest movie basically destroyed story toldyou spend whole movie discovering everyone feelings events final 2 minutes movie would impacted majority everyone character movie ends leaves wide openoverall though movie well made unlike similar moves serendipity scenes believable go top,positive,"['moves', 'predictable', 'ending', 'use', 'great', 'see', 'moves', 'really', 'unusual', 'twists', 'however', 'said', 'really', 'disappointed', 'lapartments', 'ending', 'opinion', 'ending', 'really', 'fit', 'rest', 'movie', 'basically', 'destroyed', 'story', 'toldyou', 'spend', 'whole', 'movie', 'discovering', 'everyone', 'feelings', 'events', 'final', '2', 'minutes', 'movie', 'would', 'impacted', 'majority', 'everyone', 'character', 'movie', 'ends', 'leaves', 'wide', 'openoverall', 'though', 'movie', 'well', 'made', 'unlike', 'similar', 'moves', 'serendipity', 'scenes', 'believable', 'go', 'top']"
lasheswell like horrors definitely one see otherwise even botherit completely obvious film extremely low budget instance looks entire film shot warehouse somewhere numerous occasions see mike boom shadow camera man shadow trust wont need look themalso try ignore cheese actors call themthe basic outline people decide go game show survive night big made due 3 tillers loose whoever lives end gets rich something film keeps watching rarely find cheap budget horror daysfor example watched thought self wouldit mind go game especially 12000000 anyway would recommend watch make mind,negative,"['lasheswell', 'like', 'horrors', 'definitely', 'one', 'see', 'otherwise', 'even', 'botherit', 'completely', 'obvious', 'film', 'extremely', 'low', 'budget', 'instance', 'looks', 'entire', 'film', 'shot', 'warehouse', 'somewhere', 'numerous', 'occasions', 'see', 'mike', 'boom', 'shadow', 'camera', 'man', 'shadow', 'trust', 'wont', 'need', 'look', 'themalso', 'try', 'ignore', 'cheese', 'actors', 'call', 'themthe', 'basic', 'outline', 'people', 'decide', 'go', 'game', 'show', 'survive', 'night', 'big', 'made', 'due', '3', 'tillers', 'loose', 'whoever', 'lives', 'end', 'gets', 'rich', 'something', 'film', 'keeps', 'watching', 'rarely', 'find', 'cheap', 'budget', 'horror', 'daysfor', 'example', 'watched', 'thought', 'self', 'wouldit', 'mind', 'go', 'game', 'especially', '12000000', 'anyway', 'would', 'recommend', 'watch', 'make', 'mind']"
seen many possibly many straighttovideo budget slashed films developed taste good ones ones less lucky ridiculous sounds havana dr copper kindly like refer absolute cap nothing enjoyable acting sucks characters suck killer sucks minimal sucks group college friends drive newly discovered family cabin owned parents one kiss meant relaxing retreat little know deathly ill former plastic surgeongone bad along two female assistants search unable tissue save doctor name dr copper since rides around motorcycle course crops terrible movie worthy anyones time enough said,negative,"['seen', 'many', 'possibly', 'many', 'straighttovideo', 'budget', 'slashed', 'films', 'developed', 'taste', 'good', 'ones', 'ones', 'less', 'lucky', 'ridiculous', 'sounds', 'havana', 'dr', 'copper', 'kindly', 'like', 'refer', 'absolute', 'cap', 'nothing', 'enjoyable', 'acting', 'sucks', 'characters', 'suck', 'killer', 'sucks', 'minimal', 'sucks', 'group', 'college', 'friends', 'drive', 'newly', 'discovered', 'family', 'cabin', 'owned', 'parents', 'one', 'kiss', 'meant', 'relaxing', 'retreat', 'little', 'know', 'deathly', 'ill', 'former', 'plastic', 'surgeongone', 'bad', 'along', 'two', 'female', 'assistants', 'search', 'unable', 'tissue', 'save', 'doctor', 'name', 'dr', 'copper', 'since', 'rides', 'around', 'motorcycle', 'course', 'crops', 'terrible', 'movie', 'worthy', 'anyones', 'time', 'enough', 'said']"
primary plus movie combination chris barley david spade first film comedy displayed laurelandhardyissue brand humor barleys obvious physical comedy skill perfectly augmented spades sarcastic take every situation find inthis movie stands apart comedy moves tommy boy ranks blue brothers comedy work whose individual scenes bits stem plot rather serve break storyline give film disjointed feel many comedy films thanks excellent direction canal every scene tight immediately foreshadowed acts story told much credit films hilariousness barley spade acting densely love ackroyd many others see gas station attendant 22 miles davenport strengthen filmthe film warrants multiple viewing many fine nueces film may overshadowed barleyspadei believe film wellmade funniest movie ever seen,positive,"['primary', 'plus', 'movie', 'combination', 'chris', 'barley', 'david', 'spade', 'first', 'film', 'comedy', 'displayed', 'laurelandhardyissue', 'brand', 'humor', 'barleys', 'obvious', 'physical', 'comedy', 'skill', 'perfectly', 'augmented', 'spades', 'sarcastic', 'take', 'every', 'situation', 'find', 'inthis', 'movie', 'stands', 'apart', 'comedy', 'moves', 'tommy', 'boy', 'ranks', 'blue', 'brothers', 'comedy', 'work', 'whose', 'individual', 'scenes', 'bits', 'stem', 'plot', 'rather', 'serve', 'break', 'storyline', 'give', 'film', 'disjointed', 'feel', 'many', 'comedy', 'films', 'thanks', 'excellent', 'direction', 'canal', 'every', 'scene', 'tight', 'immediately', 'foreshadowed', 'acts', 'story', 'told', 'much', 'credit', 'films', 'hilariousness', 'barley', 'spade', 'acting', 'densely', 'love', 'ackroyd', 'many', 'others', 'see', 'gas', 'station', 'attendant', '22', 'miles', 'davenport', 'strengthen', 'filmthe', 'film', 'warrants', 'multiple', 'viewing', 'many', 'fine', 'nueces', 'film', 'may', 'overshadowed', 'barleyspadei', 'believe', 'film', 'wellmade', 'funniest', 'movie', 'ever', 'seen']"
driving lessons writer clinically acclaimed films mrs brown charlotte gray enemy brick brings touching heartfelt remedy starring academy award nominee julie waters laura linsey harry porter series report grant beautiful portrait tells story ben marshall report grant seventeen year old boy held captive heart religious neurotic mother laura laura linsey school year ends decides take job clever freespirited heavy bottle retired actress evil wanton julie waters pair embark upon wonderful adventures camping walks around block simple conversations life challenging domineering mother well along way two develop beautiful bond revolutionists livesthe comedy elements lawless precise especially coming british veteran julie waters brick uses unique style create infamous loving nature first time directors could dream directing comes naturally brick build stunning image breaks surfaces plunged viewer overabundance adoration creation even subtle score unknown composer live carrel john reborn accentuated tone manner brick trouble generationlaura linsey always making mark films laura boss overbearing mother times unbearable linsey helm engulfed person complexity character could fearlessly portray anyone else report grant breaks away measles tries someone new performance responsive loquacious grant gives us someone brand new child performance viewer gets enjoy standout coming oscar nominated actress julie waters gives evil life despite role clearly leading one waters fair better supporting category believe simply take home prize evil mix clementine kruczynski mrs laura anderson free spirit movable person hopefully role go unnoticed awards seasondriving lessons world experience fine enjoyable one viewer could kick back learn little something life love friendship coming forms beautiful colors sizesgrade,positive,"['driving', 'lessons', 'writer', 'clinically', 'acclaimed', 'films', 'mrs', 'brown', 'charlotte', 'gray', 'enemy', 'brick', 'brings', 'touching', 'heartfelt', 'remedy', 'starring', 'academy', 'award', 'nominee', 'julie', 'waters', 'laura', 'linsey', 'harry', 'porter', 'series', 'report', 'grant', 'beautiful', 'portrait', 'tells', 'story', 'ben', 'marshall', 'report', 'grant', 'seventeen', 'year', 'old', 'boy', 'held', 'captive', 'heart', 'religious', 'neurotic', 'mother', 'laura', 'laura', 'linsey', 'school', 'year', 'ends', 'decides', 'take', 'job', 'clever', 'freespirited', 'heavy', 'bottle', 'retired', 'actress', 'evil', 'wanton', 'julie', 'waters', 'pair', 'embark', 'upon', 'wonderful', 'adventures', 'camping', 'walks', 'around', 'block', 'simple', 'conversations', 'life', 'challenging', 'domineering', 'mother', 'well', 'along', 'way', 'two', 'develop', 'beautiful', 'bond', 'revolutionists', 'livesthe', 'comedy', 'elements', 'lawless', 'precise', 'especially', 'coming', 'british', 'veteran', 'julie', 'waters', 'brick', 'uses', 'unique', 'style', 'create', 'infamous', 'loving', 'nature', 'first', 'time', 'directors', 'could', 'dream', 'directing', 'comes', 'naturally', 'brick', 'build', 'stunning', 'image', 'breaks', 'surfaces', 'plunged', 'viewer', 'overabundance', 'adoration', 'creation', 'even', 'subtle', 'score', 'unknown', 'composer', 'live', 'carrel', 'john', 'reborn', 'accentuated', 'tone', 'manner', 'brick', 'trouble', 'generationlaura', 'linsey', 'always', 'making', 'mark', 'films', 'laura', 'boss', 'overbearing', 'mother', 'times', 'unbearable', 'linsey', 'helm', 'engulfed', 'person', 'complexity', 'character', 'could', 'fearlessly', 'portray', 'anyone', 'else', 'report', 'grant', 'breaks', 'away', 'measles', 'tries', 'someone', 'new', 'performance', 'responsive', 'loquacious', 'grant', 'gives', 'us', 'someone', 'brand', 'new', 'child', 'performance', 'viewer', 'gets', 'enjoy', 'standout', 'coming', 'oscar', 'nominated', 'actress', 'julie', 'waters', 'gives', 'evil', 'life', 'despite', 'role', 'clearly', 'leading', 'one', 'waters', 'fair', 'better', 'supporting', 'category', 'believe', 'simply', 'take', 'home', 'prize', 'evil', 'mix', 'clementine', 'kruczynski', 'mrs', 'laura', 'anderson', 'free', 'spirit', 'movable', 'person', 'hopefully', 'role', 'go', 'unnoticed', 'awards', 'seasondriving', 'lessons', 'world', 'experience', 'fine', 'enjoyable', 'one', 'viewer', 'could', 'kick', 'back', 'learn', 'little', 'something', 'life', 'love', 'friendship', 'coming', 'forms', 'beautiful', 'colors', 'sizesgrade']"
script story mess,negative,"['script', 'story', 'mess']"
charlotte real arrives isolated country mental hospital become fulltime nurse confronted motley group cries seemingly brazier supervisor dr masters seems bedo look basement one best lowbudget moves gene people always put beyond acting excellent favorite performance petty candle allison nymphomaniac chills jump right screen probably say movie movie scar appeal horror fan respects lowbudget horror gene hard make creep film low budget actually succeed axe another cheap film looked upon maybe people spoiled big budget recent films movie excellent effects andor considered classic chance audience think people see movie see important lowbudget horror gene movie classic stands among rubbish,positive,"['charlotte', 'real', 'arrives', 'isolated', 'country', 'mental', 'hospital', 'become', 'fulltime', 'nurse', 'confronted', 'motley', 'group', 'cries', 'seemingly', 'brazier', 'supervisor', 'dr', 'masters', 'seems', 'bedo', 'look', 'basement', 'one', 'best', 'lowbudget', 'moves', 'gene', 'people', 'always', 'put', 'beyond', 'acting', 'excellent', 'favorite', 'performance', 'petty', 'candle', 'allison', 'nymphomaniac', 'chills', 'jump', 'right', 'screen', 'probably', 'say', 'movie', 'movie', 'scar', 'appeal', 'horror', 'fan', 'respects', 'lowbudget', 'horror', 'gene', 'hard', 'make', 'creep', 'film', 'low', 'budget', 'actually', 'succeed', 'axe', 'another', 'cheap', 'film', 'looked', 'upon', 'maybe', 'people', 'spoiled', 'big', 'budget', 'recent', 'films', 'movie', 'excellent', 'effects', 'andor', 'considered', 'classic', 'chance', 'audience', 'think', 'people', 'see', 'movie', 'see', 'important', 'lowbudget', 'horror', 'gene', 'movie', 'classic', 'stands', 'among', 'rubbish']"
films mundane often interesting films hands insightful artist examines twisted little details mundane french cinema seems often good sort thing love french cinemathis film mundane much plot characters lived town normal people stuff happened interesting stuff examined insightfully film capture bit mood particularly captivating mood think much film specifically wrong failed every level anything rightthere lot characters film lot kind looked alike hard figure relations one another mind putting effort understanding film even watching especially complex film one time iron details one puzzle worth solving methe good thing really say film cinematography pleasantfunctional brilliant pleasant camera often captured nice postcardtype shots rarely found really interesting little detailsI seen handful notsogood films far seattle international film festival one failed get applause credits rolled sense big collective sigh relief film finally suppose probably people would like it410,negative,"['films', 'mundane', 'often', 'interesting', 'films', 'hands', 'insightful', 'artist', 'examines', 'twisted', 'little', 'details', 'mundane', 'french', 'cinema', 'seems', 'often', 'good', 'sort', 'thing', 'love', 'french', 'cinemathis', 'film', 'mundane', 'much', 'plot', 'characters', 'lived', 'town', 'normal', 'people', 'stuff', 'happened', 'interesting', 'stuff', 'examined', 'insightfully', 'film', 'capture', 'bit', 'mood', 'particularly', 'captivating', 'mood', 'think', 'much', 'film', 'specifically', 'wrong', 'failed', 'every', 'level', 'anything', 'rightthere', 'lot', 'characters', 'film', 'lot', 'kind', 'looked', 'alike', 'hard', 'figure', 'relations', 'one', 'another', 'mind', 'putting', 'effort', 'understanding', 'film', 'even', 'watching', 'especially', 'complex', 'film', 'one', 'time', 'iron', 'details', 'one', 'puzzle', 'worth', 'solving', 'methe', 'good', 'thing', 'really', 'say', 'film', 'cinematography', 'pleasantfunctional', 'brilliant', 'pleasant', 'camera', 'often', 'captured', 'nice', 'postcardtype', 'shots', 'rarely', 'found', 'really', 'interesting', 'little', 'detailsI', 'seen', 'handful', 'notsogood', 'films', 'far', 'seattle', 'international', 'film', 'festival', 'one', 'failed', 'get', 'applause', 'credits', 'rolled', 'sense', 'big', 'collective', 'sigh', 'relief', 'film', 'finally', 'suppose', 'probably', 'people', 'would', 'like', 'it410']"
