review,sentiment,tokenized_review
i guess i was prepared after all the years of hearing about it first heard about it from sister and exert when they said divine ate excrement i had to look it up then a friend told me about it in 1991 she said also that her parents saw it when it first came out and that her mon almost dumped her dad over it so by the time i caught pink flaming on abundance today i was prepared for the most parti still could not help but be surprised by the anal closeup and the blowjob scene that said the only characters i sympathized with were die and the egg man her crying scene early in the film though over something frivolous to normal people actually makes me sad though she sure was not pretty she had a cut voice i was happy for her and the egg man and they actually touched meon the other hand the acting in this povertylevel production was not good and as for the script just how does john waters come up with this stuff well at least it is different,negative,"['guess', 'prepared', 'years', 'hearing', 'first', 'heard', 'sister', 'exert', 'said', 'divine', 'ate', 'excrement', 'look', 'friend', 'told', '1991', 'said', 'also', 'parents', 'saw', 'first', 'came', 'mon', 'almost', 'dumped', 'dad', 'time', 'caught', 'pink', 'flaming', 'abundance', 'today', 'prepared', 'parti', 'still', 'could', 'help', 'surprised', 'anal', 'closeup', 'blowjob', 'scene', 'said', 'characters', 'sympathized', 'die', 'egg', 'man', 'crying', 'scene', 'early', 'film', 'though', 'something', 'frivolous', 'normal', 'people', 'actually', 'makes', 'sad', 'though', 'sure', 'pretty', 'cut', 'voice', 'happy', 'egg', 'man', 'actually', 'touched', 'meon', 'hand', 'acting', 'povertylevel', 'production', 'good', 'script', 'john', 'waters', 'come', 'stuff', 'well', 'least', 'different']"
i bought this video on a throwout table at the video store expecting a good cast in what was routed as an awardwinning bit sex comedy i guess i should have read the finer print i rarely write a planning review but here goesthese actors in gay roles really play games with your memories of a lot of far more worthy films this comedy was a very cruel joke at the expense of the actors the theatregoing public and of all the nice films that have contributed to their reputationsi repeat is the joke about thrashing the actors other highly respectable onscreen personal with this scurrilously trash flick can the reference to the austin classic pride and prejudice and sense and sensibility be anything else how much of a political statement was it to produce this melodrama using these stars are we meant to simply take it as a laydown misery that all actors are gay and thus letting their onscreen roleplay affect our lifestyle is accepting their private homosexual dealings in our faces too I am sorry but i do not think so i say no to this one,negative,"['bought', 'video', 'throwout', 'table', 'video', 'store', 'expecting', 'good', 'cast', 'routed', 'awardwinning', 'bit', 'sex', 'comedy', 'guess', 'read', 'finer', 'print', 'rarely', 'write', 'planning', 'review', 'goesthese', 'actors', 'gay', 'roles', 'really', 'play', 'games', 'memories', 'lot', 'far', 'worthy', 'films', 'comedy', 'cruel', 'joke', 'expense', 'actors', 'theatregoing', 'public', 'nice', 'films', 'contributed', 'reputationsi', 'repeat', 'joke', 'thrashing', 'actors', 'highly', 'respectable', 'onscreen', 'personal', 'scurrilously', 'trash', 'flick', 'reference', 'austin', 'classic', 'pride', 'prejudice', 'sense', 'sensibility', 'anything', 'else', 'much', 'political', 'statement', 'produce', 'melodrama', 'using', 'stars', 'meant', 'simply', 'take', 'laydown', 'misery', 'actors', 'gay', 'thus', 'letting', 'onscreen', 'roleplay', 'affect', 'lifestyle', 'accepting', 'private', 'homosexual', 'dealings', 'faces', 'I', 'sorry', 'think', 'say', 'one']"
not all moves should have that predictable ending that we are all so use to and it is great to see moves with really unusual twists however with that said i was really disappointed in lapartments ending in my opinion the ending did not really fit in with the rest of the movie and it basically destroyed the story that was being toldyou spend the whole movie discovering everyone and their feelings but the events in the final 2 minutes of the movie would have impacted majority on everyone character but the movie ends and leaves it all too wide openoverall though this movie was very well made and unlike similar moves such as serendipity all the scenes were believable and did not go over the top,positive,"['moves', 'predictable', 'ending', 'use', 'great', 'see', 'moves', 'really', 'unusual', 'twists', 'however', 'said', 'really', 'disappointed', 'lapartments', 'ending', 'opinion', 'ending', 'really', 'fit', 'rest', 'movie', 'basically', 'destroyed', 'story', 'toldyou', 'spend', 'whole', 'movie', 'discovering', 'everyone', 'feelings', 'events', 'final', '2', 'minutes', 'movie', 'would', 'impacted', 'majority', 'everyone', 'character', 'movie', 'ends', 'leaves', 'wide', 'openoverall', 'though', 'movie', 'well', 'made', 'unlike', 'similar', 'moves', 'serendipity', 'scenes', 'believable', 'go', 'top']"
lasheswell if you like horrors its definitely one to see otherwise do not even botherit is completely obvious that this film has an extremely low budget for instance it looks as if the entire film has been shot in a warehouse somewhere and on numerous occasions you will see the mike boom shadow and the camera man shadow trust me you wont need to look for themalso try to ignore the cheese actors if that what you call themthe basic outline is a few people decide to go on a game show where they have to survive a night in a big made due to their being 3 tillers on the loose and whoever lives at the end gets rich now there is something about this film that keeps you watching and rarely do you find that with a cheap budget horror these daysfor example when i watched it i thought to my self i wouldit mind having a go at this game especially for 12000000 so anyway i would recommend you watch it and make up your own mind,negative,"['lasheswell', 'like', 'horrors', 'definitely', 'one', 'see', 'otherwise', 'even', 'botherit', 'completely', 'obvious', 'film', 'extremely', 'low', 'budget', 'instance', 'looks', 'entire', 'film', 'shot', 'warehouse', 'somewhere', 'numerous', 'occasions', 'see', 'mike', 'boom', 'shadow', 'camera', 'man', 'shadow', 'trust', 'wont', 'need', 'look', 'themalso', 'try', 'ignore', 'cheese', 'actors', 'call', 'themthe', 'basic', 'outline', 'people', 'decide', 'go', 'game', 'show', 'survive', 'night', 'big', 'made', 'due', '3', 'tillers', 'loose', 'whoever', 'lives', 'end', 'gets', 'rich', 'something', 'film', 'keeps', 'watching', 'rarely', 'find', 'cheap', 'budget', 'horror', 'daysfor', 'example', 'watched', 'thought', 'self', 'wouldit', 'mind', 'go', 'game', 'especially', '12000000', 'anyway', 'would', 'recommend', 'watch', 'make', 'mind']"
i have seen many  possibly too many straighttovideo no budget slashed films and have developed a taste for the good ones or the ones that are less lucky as ridiculous as that sounds havana dr copper is what i kindly like to refer to as absolute cap nothing about it is enjoyable  the acting sucks the characters suck the killer sucks the more is minimal and sucks it is about a group of college friends who drive out to a newly discovered family cabin owned by the parents of one of the kiss it is meant to be a relaxing retreat but little do they know that a deathly ill former plastic surgeongone bad along with his two female assistants search for unable tissue to save the doctor his name is dr copper since he rides around on a motorcycle and of course crops this is just a terrible movie not worthy of anyones time enough said,negative,"['seen', 'many', 'possibly', 'many', 'straighttovideo', 'budget', 'slashed', 'films', 'developed', 'taste', 'good', 'ones', 'ones', 'less', 'lucky', 'ridiculous', 'sounds', 'havana', 'dr', 'copper', 'kindly', 'like', 'refer', 'absolute', 'cap', 'nothing', 'enjoyable', 'acting', 'sucks', 'characters', 'suck', 'killer', 'sucks', 'minimal', 'sucks', 'group', 'college', 'friends', 'drive', 'newly', 'discovered', 'family', 'cabin', 'owned', 'parents', 'one', 'kiss', 'meant', 'relaxing', 'retreat', 'little', 'know', 'deathly', 'ill', 'former', 'plastic', 'surgeongone', 'bad', 'along', 'two', 'female', 'assistants', 'search', 'unable', 'tissue', 'save', 'doctor', 'name', 'dr', 'copper', 'since', 'rides', 'around', 'motorcycle', 'course', 'crops', 'terrible', 'movie', 'worthy', 'anyones', 'time', 'enough', 'said']"
the primary plus for this movie is the combination of chris barley and david spade this was the first film in which this comedy do displayed their laurelandhardyissue brand of humor barleys obvious physical comedy skill is perfectly augmented by spades sarcastic take on every situation they find themselves inthis movie stands apart from other comedy moves tommy boy ranks in with blue brothers as a comedy work whose individual scenes and bits stem from the plot rather than serve to break up the storyline and give the film a disjointed feel as so many other comedy films do thanks to excellent direction by canal every scene is tight and immediately foreshadowed or acts out the story being told he is as much to credit for the films hilariousness as barley and spade are the acting of densely love ackroyd and many others see the gas station attendant 22 miles from davenport strengthen the filmthe film warrants multiple viewing because there are many fine nueces to the film that may be overshadowed by barleyspadei believe this film is very wellmade and is the funniest movie i have ever seen,positive,"['primary', 'plus', 'movie', 'combination', 'chris', 'barley', 'david', 'spade', 'first', 'film', 'comedy', 'displayed', 'laurelandhardyissue', 'brand', 'humor', 'barleys', 'obvious', 'physical', 'comedy', 'skill', 'perfectly', 'augmented', 'spades', 'sarcastic', 'take', 'every', 'situation', 'find', 'inthis', 'movie', 'stands', 'apart', 'comedy', 'moves', 'tommy', 'boy', 'ranks', 'blue', 'brothers', 'comedy', 'work', 'whose', 'individual', 'scenes', 'bits', 'stem', 'plot', 'rather', 'serve', 'break', 'storyline', 'give', 'film', 'disjointed', 'feel', 'many', 'comedy', 'films', 'thanks', 'excellent', 'direction', 'canal', 'every', 'scene', 'tight', 'immediately', 'foreshadowed', 'acts', 'story', 'told', 'much', 'credit', 'films', 'hilariousness', 'barley', 'spade', 'acting', 'densely', 'love', 'ackroyd', 'many', 'others', 'see', 'gas', 'station', 'attendant', '22', 'miles', 'davenport', 'strengthen', 'filmthe', 'film', 'warrants', 'multiple', 'viewing', 'many', 'fine', 'nueces', 'film', 'may', 'overshadowed', 'barleyspadei', 'believe', 'film', 'wellmade', 'funniest', 'movie', 'ever', 'seen']"
driving lessons from the writer of the clinically acclaimed films mrs brown and charlotte gray enemy brick brings a touching heartfelt remedy starring academy award nominee julie waters and laura linsey and from the harry porter series report grant the beautiful portrait tells the story of ben marshall report grant a seventeen year old boy being held captive in the heart of his religious neurotic mother laura laura linsey after his school year ends he decides to take a job with a clever freespirited and heavy on the bottle retired actress evil wanton julie waters the pair embark upon wonderful adventures from camping to walks around the block to the simple conversations about life challenging the domineering mother as well as each other along the way the two develop a beautiful bond that revolutionists both their livesthe comedy elements are lawless and precise especially coming from the british veteran julie waters brick uses his unique style to create an infamous and loving nature that first time directors could only dream directing comes naturally to brick as he build up stunning image that breaks the surfaces and plunged the viewer down into an overabundance of adoration and creation even the subtle score by unknown composer live carrel and john reborn accentuated the tone and manner brick had no trouble in generationlaura linsey is always making her mark in films as she does as laura the boss and overbearing mother is at times unbearable and with linsey at the helm of it we are engulfed into that person the complexity of her character could not have been more fearlessly portray by anyone else report grant breaks away from on measles and tries on someone new his performance is more responsive than loquacious but grant gives us someone brand new to a child performance and the viewer gets to enjoy it but the standout is coming from oscar nominated actress julie waters who gives evil a life of her own despite the role being clearly a leading one waters fair better in the supporting category where i believe she can simply take home the prize evil is a mix of clementine kruczynski and mrs laura anderson with her free spirit and movable person hopefully her role will not go unnoticed this awards seasondriving lessons is not an out of this world experience but a fine enjoyable one that any viewer could just kick back and learn a little something about life love and friendship coming in the forms of the most beautiful colors and sizesgrade ,positive,"['driving', 'lessons', 'writer', 'clinically', 'acclaimed', 'films', 'mrs', 'brown', 'charlotte', 'gray', 'enemy', 'brick', 'brings', 'touching', 'heartfelt', 'remedy', 'starring', 'academy', 'award', 'nominee', 'julie', 'waters', 'laura', 'linsey', 'harry', 'porter', 'series', 'report', 'grant', 'beautiful', 'portrait', 'tells', 'story', 'ben', 'marshall', 'report', 'grant', 'seventeen', 'year', 'old', 'boy', 'held', 'captive', 'heart', 'religious', 'neurotic', 'mother', 'laura', 'laura', 'linsey', 'school', 'year', 'ends', 'decides', 'take', 'job', 'clever', 'freespirited', 'heavy', 'bottle', 'retired', 'actress', 'evil', 'wanton', 'julie', 'waters', 'pair', 'embark', 'upon', 'wonderful', 'adventures', 'camping', 'walks', 'around', 'block', 'simple', 'conversations', 'life', 'challenging', 'domineering', 'mother', 'well', 'along', 'way', 'two', 'develop', 'beautiful', 'bond', 'revolutionists', 'livesthe', 'comedy', 'elements', 'lawless', 'precise', 'especially', 'coming', 'british', 'veteran', 'julie', 'waters', 'brick', 'uses', 'unique', 'style', 'create', 'infamous', 'loving', 'nature', 'first', 'time', 'directors', 'could', 'dream', 'directing', 'comes', 'naturally', 'brick', 'build', 'stunning', 'image', 'breaks', 'surfaces', 'plunged', 'viewer', 'overabundance', 'adoration', 'creation', 'even', 'subtle', 'score', 'unknown', 'composer', 'live', 'carrel', 'john', 'reborn', 'accentuated', 'tone', 'manner', 'brick', 'trouble', 'generationlaura', 'linsey', 'always', 'making', 'mark', 'films', 'laura', 'boss', 'overbearing', 'mother', 'times', 'unbearable', 'linsey', 'helm', 'engulfed', 'person', 'complexity', 'character', 'could', 'fearlessly', 'portray', 'anyone', 'else', 'report', 'grant', 'breaks', 'away', 'measles', 'tries', 'someone', 'new', 'performance', 'responsive', 'loquacious', 'grant', 'gives', 'us', 'someone', 'brand', 'new', 'child', 'performance', 'viewer', 'gets', 'enjoy', 'standout', 'coming', 'oscar', 'nominated', 'actress', 'julie', 'waters', 'gives', 'evil', 'life', 'despite', 'role', 'clearly', 'leading', 'one', 'waters', 'fair', 'better', 'supporting', 'category', 'believe', 'simply', 'take', 'home', 'prize', 'evil', 'mix', 'clementine', 'kruczynski', 'mrs', 'laura', 'anderson', 'free', 'spirit', 'movable', 'person', 'hopefully', 'role', 'go', 'unnoticed', 'awards', 'seasondriving', 'lessons', 'world', 'experience', 'fine', 'enjoyable', 'one', 'viewer', 'could', 'kick', 'back', 'learn', 'little', 'something', 'life', 'love', 'friendship', 'coming', 'forms', 'beautiful', 'colors', 'sizesgrade']"
what a script what a story what a mess,negative,"['script', 'story', 'mess']"
charlotte real arrives at an isolated country mental hospital to become a fulltime nurse there she is confronted with a motley group of cries and a seemingly brazier supervisor is dr masters all she seems to bedo not look in the basement is one of the best lowbudget moves in the gene and why people always put it down is beyond me the acting is excellent my favorite performance being by petty candle as allison the nymphomaniac the chills just jump right off the screen you probably will not have to say it is only a movie it is only a movie it is not that scar but it should appeal to any horror fan who respects the lowbudget horror gene which i do it is very hard to make a creep film on a low budget and few actually succeed axe is another cheap film that is looked down upon maybe people are so spoiled by the big budget of recent films that any movie that does not have excellent effects andor is not considered a classic does not have a chance with an audience but i think that after people see this movie they will see how important the lowbudget horror gene is and this movie is a classic that stands out among the other rubbish,positive,"['charlotte', 'real', 'arrives', 'isolated', 'country', 'mental', 'hospital', 'become', 'fulltime', 'nurse', 'confronted', 'motley', 'group', 'cries', 'seemingly', 'brazier', 'supervisor', 'dr', 'masters', 'seems', 'bedo', 'look', 'basement', 'one', 'best', 'lowbudget', 'moves', 'gene', 'people', 'always', 'put', 'beyond', 'acting', 'excellent', 'favorite', 'performance', 'petty', 'candle', 'allison', 'nymphomaniac', 'chills', 'jump', 'right', 'screen', 'probably', 'say', 'movie', 'movie', 'scar', 'appeal', 'horror', 'fan', 'respects', 'lowbudget', 'horror', 'gene', 'hard', 'make', 'creep', 'film', 'low', 'budget', 'actually', 'succeed', 'axe', 'another', 'cheap', 'film', 'looked', 'upon', 'maybe', 'people', 'spoiled', 'big', 'budget', 'recent', 'films', 'movie', 'excellent', 'effects', 'andor', 'considered', 'classic', 'chance', 'audience', 'think', 'people', 'see', 'movie', 'see', 'important', 'lowbudget', 'horror', 'gene', 'movie', 'classic', 'stands', 'among', 'rubbish']"
films about the mundane are often the most interesting of all films to me in the hands of an insightful artist who examines all the twisted little details of the mundane the french cinema seems to often be very good at this sort of thing and i love the french cinemathis film was about the mundane it did not have a much of a plot it was just characters who lived in a town very normal people and stuff just happened but it was not very interesting stuff and it was not examined very insightfully the film did capture a bit of a mood but it was not a particularly captivating mood and while i cannot think of much that the film did specifically wrong it failed on just about every level to do anything rightthere were a lot of characters in this film a lot of them kind of looked alike so it was hard to figure out who was who and what were their relations to one another i do not mind putting some effort into understanding a film or even watching an especially complex film more than one time to iron out the details but this one was a puzzle not worth the solving for methe only good thing i can really say about this film is that the cinematography was pleasantfunctional not brilliant but pleasant the camera often captured some nice postcardtype shots but it rarely found the really interesting little detailsI have seen a handful of notsogood films so far at the seattle international film festival but this was the only one that failed to get any applause when the credits rolled i sense a big collective sigh of relief when the film was finally over but i suppose there are probably some people out there who would like it410,negative,"['films', 'mundane', 'often', 'interesting', 'films', 'hands', 'insightful', 'artist', 'examines', 'twisted', 'little', 'details', 'mundane', 'french', 'cinema', 'seems', 'often', 'good', 'sort', 'thing', 'love', 'french', 'cinemathis', 'film', 'mundane', 'much', 'plot', 'characters', 'lived', 'town', 'normal', 'people', 'stuff', 'happened', 'interesting', 'stuff', 'examined', 'insightfully', 'film', 'capture', 'bit', 'mood', 'particularly', 'captivating', 'mood', 'think', 'much', 'film', 'specifically', 'wrong', 'failed', 'every', 'level', 'anything', 'rightthere', 'lot', 'characters', 'film', 'lot', 'kind', 'looked', 'alike', 'hard', 'figure', 'relations', 'one', 'another', 'mind', 'putting', 'effort', 'understanding', 'film', 'even', 'watching', 'especially', 'complex', 'film', 'one', 'time', 'iron', 'details', 'one', 'puzzle', 'worth', 'solving', 'methe', 'good', 'thing', 'really', 'say', 'film', 'cinematography', 'pleasantfunctional', 'brilliant', 'pleasant', 'camera', 'often', 'captured', 'nice', 'postcardtype', 'shots', 'rarely', 'found', 'really', 'interesting', 'little', 'detailsI', 'seen', 'handful', 'notsogood', 'films', 'far', 'seattle', 'international', 'film', 'festival', 'one', 'failed', 'get', 'applause', 'credits', 'rolled', 'sense', 'big', 'collective', 'sigh', 'relief', 'film', 'finally', 'suppose', 'probably', 'people', 'would', 'like', 'it410']"
